City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
326,Faanui,PF,77.11,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
327,Tabas,IR,91.62,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
329,Svetlogorsk,BY,54.99,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
330,Myitkyina,MM,75.76,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
331,Vestmannaeyjar,IS,51.8,overcast clouds,63.4427,-20.2734,Glamping & Camping
332,Acarau,BR,78.42,scattered clouds,-2.8856,-40.12,castelo pizzaria
334,Dingle,PH,74.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
335,Hailar,CN,52.9,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
336,Sao Filipe,CV,79.52,overcast clouds,14.8961,-24.4956,Hotel Xaguate
337,Kushikino,JP,76.46,broken clouds,31.7167,130.2667,Tajiri Inn
338,Talara,PE,64.98,clear sky,-4.5772,-81.2719,Hostal Oro Negro
340,Medea,DZ,73.99,clear sky,36.2642,2.7539,Hôtel M'Sallah
341,Kavaratti,IN,80.49,overcast clouds,10.5669,72.642,Green leaf
342,Mizdah,LY,76.32,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
343,Kenai,US,60.89,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
344,Svetlyy,RU,56.97,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
345,Sitka,US,55.29,light rain,57.0531,-135.33,Westmark Sitka
346,Khatanga,RU,52.16,broken clouds,71.9667,102.5,"""Khatanga"""
347,Saint-Joseph,RE,66.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
348,Terra Santa,BR,83.43,scattered clouds,-2.1042,-56.4869,Hotel Sarah
349,Lethem,GY,89.65,few clouds,3.3803,-59.7968,Savannah Inn
350,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
351,Kassala,SD,77.81,overcast clouds,15.451,36.4,Amassi Hotel Gash
352,Goderich,CA,85.91,overcast clouds,43.7501,-81.7165,Harmony Inn
353,Norden,DE,60.96,clear sky,53.6,7.2,Hotel Aquarius
354,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
355,Sola,VU,81.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
